"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.11.2023","33,260","33,220","33,470","33,160","231,27K","-0,18%"
"09.11.2023","33,320","33,250","33,440","33,100","273,07K","0,18%"
"08.11.2023","33,260","33,090","33,300","32,930","663,93K","0,24%"
"07.11.2023","33,180","33,300","33,470","33,100","254,90K","-0,96%"
"06.11.2023","33,500","33,890","33,890","33,390","270,00K","-1,15%"
"03.11.2023","33,890","34,350","34,400","33,840","255,13K","-0,88%"
"02.11.2023","34,190","34,280","34,470","34,080","385,45K","0,59%"
"01.11.2023","33,990","34,050","34,230","33,770","277,54K","-0,53%"
"31.10.2023","34,170","33,780","34,210","33,640","1,04M","1,27%"
"30.10.2023","33,740","33,430","33,800","33,360","379,81K","0,96%"
"27.10.2023","33,420","32,910","33,700","32,700","677,22K","2,05%"
"26.10.2023","32,750","32,180","32,940","32,170","427,86K","0,74%"
"25.10.2023","32,510","32,600","32,770","32,430","380,47K","-0,34%"
"24.10.2023","32,620","32,270","32,660","32,220","385,38K","0,65%"
"23.10.2023","32,410","32,210","32,460","32,120","374,14K","0,50%"
"20.10.2023","32,250","32,330","32,510","31,870","818,99K","-0,80%"
"19.10.2023","32,510","32,570","32,620","32,220","364,83K","-0,73%"
"18.10.2023","32,750","33,030","33,210","32,600","342,71K","-1,09%"
"17.10.2023","33,110","33,100","33,180","32,940","261,90K","-0,06%"
"16.10.2023","33,130","33,420","33,440","33,070","286,93K","-0,21%"
"13.10.2023","33,200","33,650","34,080","33,170","349,06K","-1,25%"
"12.10.2023","33,620","33,610","33,700","33,390","309,15K","0,27%"
"11.10.2023","33,530","33,310","33,590","32,690","503,58K","0,27%"
"10.10.2023","33,440","33,280","33,630","33,190","416,66K","1,67%"
"09.10.2023","32,890","32,740","33,060","32,580","350,64K","-0,09%"
"06.10.2023","32,920","32,180","33,060","32,100","452,50K","2,78%"
"05.10.2023","32,030","33,500","33,500","32,030","712,92K","-3,99%"
"04.10.2023","33,360","33,360","33,630","33,060","360,49K","-0,27%"
"03.10.2023","33,450","33,500","33,930","33,270","423,91K","-0,80%"
"02.10.2023","33,720","34,130","34,280","33,650","491,79K","-1,03%"
"29.09.2023","34,070","33,960","34,310","33,790","507,10K","0,38%"
"28.09.2023","33,940","33,900","33,970","33,570","465,31K","0,41%"
"27.09.2023","33,800","33,940","34,180","33,690","438,22K","-0,24%"
"26.09.2023","33,880","33,730","34,200","33,710","447,52K","0,15%"
"25.09.2023","33,830","34,000","34,190","33,600","1,14M","-0,68%"
"22.09.2023","34,060","33,930","34,240","33,770","358,93K","-0,29%"
"21.09.2023","34,160","34,300","34,310","33,450","459,18K","-0,58%"
"20.09.2023","34,360","34,190","34,490","34,180","304,61K","0,32%"
"19.09.2023","34,250","33,600","34,250","33,490","365,34K","1,87%"
"18.09.2023","33,620","33,370","33,620","33,210","376,75K","0,63%"
"15.09.2023","33,410","33,000","33,430","32,990","1,40M","1,43%"
"14.09.2023","32,940","32,600","32,960","32,560","393,30K","0,86%"
"13.09.2023","32,660","32,820","32,820","32,410","356,74K","-0,61%"
"12.09.2023","32,860","32,950","33,000","32,560","363,85K","-0,24%"
"11.09.2023","32,940","32,570","32,940","32,570","226,39K","1,42%"
"08.09.2023","32,480","32,600","32,650","32,300","176,93K","0,28%"
"07.09.2023","32,390","32,090","32,630","32,090","259,87K","0,47%"
"06.09.2023","32,240","32,200","32,370","32,120","199,29K","-0,06%"
"05.09.2023","32,260","32,310","32,580","32,050","190,68K","-0,34%"
